series,area_sqdeg,upper_cut_lmax,nsigma,nsigma_err,n_seeds,errbar_kind
non-BNT cut all,35000,580,1.595400,0.293570,5,std
non-BNT cut all,35000,620,1.953900,0.345140,5,std
non-BNT cut all,35000,660,2.464170,0.427320,5,std
non-BNT cut all,35000,700,2.254740,0.243660,5,std
non-BNT cut all,35000,740,2.733350,0.410040,5,std
non-BNT cut all,35000,780,2.502220,0.168800,5,std
non-BNT cut all,35000,820,2.686520,0.564120,5,std
non-BNT cut all,35000,860,3.291550,0.479030,5,std
non-BNT cut all,35000,900,2.904500,0.239530,5,std
non-BNT cut all,35000,940,2.969620,0.557810,5,std
non-BNT cut all,35000,980,3.188710,0.394900,5,std
non-BNT cut all,35000,1020,3.564360,0.339720,5,std
