series,area_sqdeg,upper_cut_lmax,nsigma,nsigma_err,n_seeds,errbar_kind
BNT bin-1 only,35000,500,0.969730,0.135720,3,std
BNT bin-1 only,35000,540,1.670580,0.094810,3,std
BNT bin-1 only,35000,580,1.670580,0.094810,3,std
BNT bin-1 only,35000,620,1.670580,0.094810,3,std
BNT bin-1 only,35000,660,1.670580,0.094810,3,std
BNT bin-1 only,35000,700,2.724130,0.424740,3,std
BNT bin-1 only,35000,740,2.724130,0.424740,3,std
BNT bin-1 only,35000,780,2.724130,0.424740,3,std
BNT bin-1 only,35000,820,2.724130,0.424740,3,std
BNT bin-1 only,35000,860,3.330570,0.219260,3,std
BNT bin-1 only,35000,900,3.330570,0.219260,3,std
BNT bin-1 only,35000,940,3.330570,0.219260,3,std
BNT bin-1 only,35000,980,3.330570,0.219260,3,std
BNT bin-1 only,35000,1020,3.532100,0.685830,3,std
non-BNT cut all,2000,340,0.000840,0.000130,5,std
non-BNT cut all,2000,380,0.001750,0.000240,5,std
non-BNT cut all,2000,420,0.007220,0.001220,5,std
non-BNT cut all,2000,460,0.010100,0.001780,5,std
non-BNT cut all,2000,500,0.019030,0.001040,5,std
non-BNT cut all,2000,540,0.028230,0.002590,5,std
non-BNT cut all,2000,580,0.040440,0.006500,5,std
non-BNT cut all,2000,620,0.059210,0.005120,5,std
non-BNT cut all,2000,660,0.078360,0.013270,5,std
non-BNT cut all,2000,700,0.093840,0.008970,5,std
non-BNT cut all,2000,740,0.146980,0.026870,5,std
non-BNT cut all,2000,780,0.157150,0.016660,5,std
non-BNT cut all,2000,820,0.222250,0.020120,5,std
non-BNT cut all,2000,860,0.246840,0.021250,5,std
non-BNT cut all,2000,900,0.354780,0.052850,5,std
non-BNT cut all,2000,940,0.324910,0.052930,5,std
non-BNT cut all,2000,980,0.461950,0.046440,5,std
non-BNT cut all,2000,1020,0.432710,0.059990,5,std
non-BNT cut all,5000,340,0.005150,0.000600,5,std
non-BNT cut all,5000,380,0.011120,0.001300,5,std
non-BNT cut all,5000,420,0.035200,0.007250,5,std
non-BNT cut all,5000,460,0.067370,0.010320,5,std
non-BNT cut all,5000,500,0.102010,0.013830,5,std
non-BNT cut all,5000,540,0.116480,0.021290,5,std
non-BNT cut all,5000,580,0.237600,0.024360,5,std
non-BNT cut all,5000,620,0.325210,0.052890,5,std
non-BNT cut all,5000,660,0.430540,0.044840,5,std
non-BNT cut all,5000,700,0.458480,0.100230,5,std
non-BNT cut all,5000,740,0.639920,0.062860,5,std
non-BNT cut all,5000,780,0.631690,0.119110,5,std
non-BNT cut all,5000,820,0.755530,0.128800,5,std
non-BNT cut all,5000,860,0.916150,0.070990,5,std
non-BNT cut all,5000,900,0.929460,0.212630,5,std
non-BNT cut all,5000,940,1.093150,0.141580,5,std
non-BNT cut all,5000,980,1.271650,0.141160,5,std
non-BNT cut all,5000,1020,1.253520,0.132110,5,std
non-BNT cut all,10000,340,0.016400,0.001660,5,std
non-BNT cut all,10000,380,0.042340,0.004120,5,std
non-BNT cut all,10000,420,0.095310,0.010710,5,std
non-BNT cut all,10000,460,0.173820,0.019790,5,std
non-BNT cut all,10000,500,0.279080,0.050560,5,std
non-BNT cut all,10000,540,0.290140,0.038750,5,std
non-BNT cut all,10000,580,0.487620,0.055260,5,std
non-BNT cut all,10000,620,0.550980,0.092000,5,std
non-BNT cut all,10000,660,0.781560,0.083360,5,std
non-BNT cut all,10000,700,0.870260,0.149730,5,std
non-BNT cut all,10000,740,1.130770,0.107950,5,std
non-BNT cut all,10000,780,1.162450,0.161240,5,std
non-BNT cut all,10000,820,1.254010,0.262060,5,std
non-BNT cut all,10000,860,1.533640,0.284960,5,std
non-BNT cut all,10000,900,1.671570,0.197120,5,std
non-BNT cut all,10000,940,1.821420,0.259990,5,std
non-BNT cut all,10000,980,2.010470,0.304310,5,std
non-BNT cut all,10000,1020,2.022190,0.234710,5,std
non-BNT cut all,14000,340,0.038340,0.007110,5,std
non-BNT cut all,14000,380,0.074400,0.005430,5,std
non-BNT cut all,14000,420,0.192680,0.032210,5,std
non-BNT cut all,14000,460,0.287570,0.041610,5,std
non-BNT cut all,14000,500,0.413260,0.041960,5,std
non-BNT cut all,14000,540,0.564730,0.077090,5,std
non-BNT cut all,14000,580,0.710310,0.024930,5,std
non-BNT cut all,14000,620,0.830750,0.137170,5,std
non-BNT cut all,14000,660,1.135680,0.070000,5,std
non-BNT cut all,14000,700,1.079980,0.144340,5,std
non-BNT cut all,14000,740,1.476580,0.236350,5,std
non-BNT cut all,14000,780,1.220860,0.191440,5,std
non-BNT cut all,14000,820,1.432410,0.186750,5,std
non-BNT cut all,14000,860,1.864430,0.471500,5,std
non-BNT cut all,14000,900,1.735080,0.193900,5,std
non-BNT cut all,14000,940,2.130160,0.359970,5,std
non-BNT cut all,14000,980,2.177300,0.341030,5,std
non-BNT cut all,14000,1020,2.218330,0.223650,5,std
non-BNT cut all,28000,340,0.114780,0.019890,5,std
non-BNT cut all,28000,380,0.225720,0.017950,5,std
non-BNT cut all,28000,420,0.450350,0.018270,5,std
non-BNT cut all,28000,460,0.682430,0.075600,5,std
non-BNT cut all,28000,500,1.003990,0.082430,5,std
non-BNT cut all,28000,540,1.078290,0.159320,5,std
non-BNT cut all,28000,580,1.321910,0.148470,5,std
non-BNT cut all,28000,620,1.564250,0.275010,5,std
non-BNT cut all,28000,660,2.081220,0.232690,5,std
non-BNT cut all,28000,700,1.906180,0.279450,5,std
non-BNT cut all,28000,740,2.149420,0.319800,5,std
non-BNT cut all,28000,780,2.164240,0.181900,5,std
non-BNT cut all,28000,820,2.232220,0.213500,5,std
non-BNT cut all,28000,860,3.035740,0.558850,5,std
non-BNT cut all,28000,900,2.480100,0.283480,5,std
non-BNT cut all,28000,940,3.082460,0.341340,5,std
non-BNT cut all,28000,980,2.909930,0.744050,5,std
non-BNT cut all,28000,1020,2.906510,0.654300,5,std
non-BNT cut all,35000,340,0.145030,0.014590,5,std
non-BNT cut all,35000,380,0.310520,0.025480,5,std
non-BNT cut all,35000,420,0.592020,0.089440,5,std
